caption	answer	add_caption	c1_variable	c1_comp	c1_condition	c2_variable	c2_comp	c2_condition	c3_variable	c3_comp	c3_condition
Who are you?	I am @Name@, a Summoner of the Temple of Kynareth. My faith in Kynareth allows me to parlay with Daedric Princes, but be warned: summoning them is always dangerous.	Kynareth,the Temple of Kynareth, Daedric Princes	Building Name	==	the Temple of Kynareth	Faction Name	==	Summoners of Kynareth	NoLore	==	2
Who are you?	I am @Name@, a Teacher of the Temple of Kynareth.	Kynareth,the Temple of Kynareth	Building Name	==	the Temple of Kynareth	Faction Name	==	Teachers of Kynareth	NoLore	==	2
Who are you?	I am @Name@, a Warrior Monk of the Kynaran Order.	the Kynaran Order	Faction Name	==	the Kynaran Order	NoLore	==	2			
Who are you?	I am @Name@, a layperson of the Temple of Kynareth.	Kynareth,the Temple of Kynareth	Building Name	==	the Temple of Kynareth	NoLore	==	2			
the Temple of Kynareth	Kynareth is the Goddess of the Air, and Patron Spirit of many places, including the kingdom of Daggerfall. Her temples are widespread and her worship popular.|The Temple of Kynareth worships the Goddess of the Air, the spirit who supposed first gave Morihaus the Lord's Mail.|The priests and priestesses of the Goddess of the Air gather there to pray to their patroness.		Region Index	==	34|46|17|16|49						
the Benevolence of Mara	Temples devoted to the Mother Goddess of Tamriel are called Benevolences, for we are devoted to the charge of uniting all creatures as brethren, childer of Mara.|We are intolerant only of those who show intolerance; we hate only those who hate. Mara is our Mother Goddess, and thus She blesses all with the gift of love.|Our priests and priestesses study the greatness of Mara's Tamriel and have learned much. So there is much to share with our initiates who are judged to be true to Mara's calling.|The Benevolence of Mara is everlasting and Her warmth widespread throughout the world.|Mara represents love and peace. She is the Mother-Goddess and source of mortal compassion and understanding. We strive to emulate Her selflessness and to bring Her love to all of Tamriel.	Mara|Mara|Mara|Mara|Mara	Building Name	==	the Benevolence of Mara	NoLore	==	2			
Any advice?	Know that Mara is always with you. Within the heart in your breast beats Her love and affection.|Mara says: Live soberly and peacefully. Honor your parents, and preserve the peace and security of home and family.|Seek simplicity and abstain from profane pleasures. In all things seek cleanliness and austerity. Do not share the cup of the debauched or break bread at the lot-caster's table.|Rejoice for Mara’s light shines upon you!|Give unto Mara all the compassion that you would give unto your mother and learn that She will never leave you, never cast you aside, and never forsake you!	Mara|Mara|-|Mara|Mara	Building Name	==	the Benevolence of Mara	NoLore	==	2			
services	For a reasonable donation to the Benevolence, one may receive a blessing. Members of our cult can also access our potion maker, our potion seller, and our library. Our Diviners, Masters, and Primates can even attempt to summon Daedric Princes. 	Daedric Princes	Building Name	==	the Benevolence of Mara	NoLore	==	2			
the Maran Knights	Mara represents love and peace. She and Her Benevolence recognize that, as hypocritical as it sounds, military strength is often needed to beget this peace. The Maran Knights represent this military strength. We are admittedly a controversial knightly order. Some misguided clerics within the Temple would prefer that we disband, but they are in the minority, and all respect our skill and loyalty.	Mara,the Benevolence of Mara	Faction Name	==	the Maran Knights	NoLore	==	2			
Who are you?	I am @Name@, a Healer of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Temple Healers	NoLore	==	2
Who are you?	I am @Name@, a Missionary of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Temple Missionaries	NoLore	==	2
Who are you?	I am @Name@, a Blesser of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Temple Blessers	NoLore	==	2
Who are you?	I am @Name@, a Treasurer of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Temple Treasurers	NoLore	==	2
Who are you?	I am @Name@, an Apothecary of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Apothecaries of Mara	NoLore	==	2
Who are you?	I am @Name@, a Mixer of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Mixers of Mara	NoLore	==	2
Who are you?	I am @Name@, a Summoner of the Benevolence of Mara. My faith in Mara allows me to parlay with Daedric Princes, but be warned: summoning them is always dangerous.	Mara,the Benevolence of Mara, Daedric Princes	Building Name	==	the Benevolence of Mara	Faction Name	==	Summoners of Mara	NoLore	==	2
Who are you?	I am @Name@, a Teacher of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	Faction Name	==	Teachers of Mara	NoLore	==	2
Who are you?	I am @Name@, a Warrior Monk of the Maran Knights.	the Maran Knights	Faction Name	==	the Maran Knights	NoLore	==	2			
Who are you?	I am @Name@, a layperson of the Benevolence of Mara.	Mara,the Benevolence of Mara	Building Name	==	the Benevolence of Mara	NoLore	==	2			
the Benevolence of Mara	Temples devoted to the Mother-Goddess Mara are customarily called Benevolences because she is also the Goddess of Love.|A Benevolence is any temple devoted to the Mother-Goddess, Mara.|Mara's temples are called Benevolences, just like the God of Work and Commerce calls His temples Resolutions. She's the Mother-Goddess and the Goddess of Love, so it makes sense in a way.		Region Index	==	21|55|47|19|53|59|32|40						
the Temple of Stendarr	Our God is the God of Mercy, Stendarr. Some mock our compassion, calling us sentimental fools and tenderhearts. But the truth is that everyone, no matter their strength, crawls to us when Sai, the God of Luck deserts them as he is prone to do.|Our gift to the traveller is a simple one: we heal those who are in pain. For more complicated ailments, diseases and poisonings, we direct you to the Temple of Kynareth. With due respect, for they are the finest apothecaries and we, the finest chirurgeons.|If one possesses the desire and aptitude, one may join the Temple. Though we desire to help all Tamrielans, we only possess the means to train and assist a small handful.|All are welcome within Stendarr’s gracious embrace. His temple doors are never closed, for all in Tamriel deserve comfort and shelter. He welcomes the afflicted, the hopeless, the forgotten, and yes, even the heretical.|The God of Mercy and Justice is the friend to all the mortals of the Mundus, whether they acknowledge him or not. For Stendarr in his benevolence draws no distinction between those who rightfully worship him and those who, in their ignorance and error, do not.	Stendarr|-|-|Stendarr|Stendarr	Building Name	==	the Temple of Stendarr	NoLore	==	2			
Any advice?	Sometimes, it is best to begin one's compassion with oneself.|Never refuse aid you are capable of providing. Go among the infirm and the wounded wherever you find them.|Join with me in a prayer to Stendarr for guidance, that we may look with mercy upon our fellow mortals, that we may show the compassion to help them at need, and find the strength to eradicate abominations that threaten us all.|Stendarr’s protection be upon you. Though the Apologist of Men bears a heavy burden, his compassion is still a quality to be admired.|Stendarr says: Be kind and generous to the people of Tamriel. Protect the weak, heal the sick, and give to the needy.	-|-|Stendarr|Stendarr|Stendarr	Building Name	==	the Temple of Stendarr	NoLore	==	2			
services	Through His priests, Stendarr offers counsel and assistance to the ones who need it the most. Member of His Temple can also access potion makers and potion sellers, and His libraries. His Diviners, Masters and Primates can even attempt to summon Daedric Princes.	Stendarr,Daedric Princes	Building Name	==	the Temple of Stendarr	NoLore	==	2			
the Crusaders	We, the Knights of Stendarr the Merciful call ourselves the Crusaders, for it is our sacred duty to protect the Temple and fights its battles. While we firmly espouse the Temple's philosophy of compassion and charity, we recognize that if the Temple is weak, it cannot realistically survive.	Faction Name	==	the Crusaders	NoLore	==	2				
Who are you?	I am @Name@, a Healer of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Temple Healers	NoLore	==	2
Who are you?	I am @Name@, a Missionary of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Temple Missionaries	NoLore	==	2
Who are you?	I am @Name@, a Blesser of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Temple Blessers	NoLore	==	2
Who are you?	I am @Name@, a Treasurer of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Temple Treasurers	NoLore	==	2
Who are you?	I am @Name@, an Apothecary of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Apothecaries of Stendarr	NoLore	==	2
Who are you?	I am @Name@, a Mixer of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Mixers of Stendarr	NoLore	==	2
Who are you?	I am @Name@, a Summoner of the Temple of Stendarr. My faith in Stendarr allows me to parlay with Daedric Princes, but be warned: summoning them is always dangerous.	Stendarr,the Temple of Stendarr, Daedric Princes	Building Name	==	the Temple of Stendarr	Faction Name	==	Summoners of Stendarr	NoLore	==	2
Who are you?	I am @Name@, a Teacher of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	Faction Name	==	Teachers of Stendarr	NoLore	==	2
Who are you?	I am @Name@, a Warrior Monk of the Crusaders.	the Crusaders	Faction Name	==	the Crusaders	NoLore	==	2			
Who are you?	I am @Name@, a layperson of the Temple of Stendarr.	Stendarr,the Temple of Stendarr	Building Name	==	the Temple of Stendarr	NoLore	==	2			
the Temple of Stendarr	The Temple of Stendarr is dedicated to the God Stendarr, the Patron of Mercy. They are among the greatest charitable institutions in the land.|Stendarr is the God of Mercy and His temples attempt to carry His message of peace to all Tamriel. You can judge their success for yourself.|The cult devoted to the God of Mercy and Peace is called the Temple of Stendarr. Say what you want about them, they have an honest vision of a peaceful Tamriel.		Region Index	==	0|36|11|38|52|54|39						
The Resolution of Z'en	We are a temple devoted to Zenithar, the God of Commerce and Patron of Merchants and Mercenaries.|Long ago, in our movement's birth, our forefathers made us a temple like no other: one meant to be adaptable, but resilient to the storm of time. We are thus called Resolutions, a far more descriptive term than temples.|The Resolution of Zenithar favors those who favor us. We do not choose to hide behind words like donations, gifts, or indulgences.|The invitation to join the Resolution of Zenithar is not open. Only those already possessing a few minimum skills will even be considered. It does not reward us to waste our time with neophytes. If nothing else, we are professionals.	Zenithar|-|Zenithar|Zenithar	Building Name	==	The Resolution of Z'en	NoLore	==	2			
Any advice?	Kneel before the hallowed anvil, pious child of forge’s flame. Reap the bounty of honest toil, to Zenithar thy love proclaim.|Zenithar says: Work hard, and you will be rewarded. Spend wisely, and you will be comfortable. Never steal, or you will be punished.|The way to peace and prosperity is through earnest work and honest profit, not through war and bloodshed.|The natural world provides for the craftsmen. One cannot revere Zenithar without acknowledging the power of Kynareth.	Zenithar|Zenithar|-|Zenithar	Building Name	==	The Resolution of Z'en	NoLore	==	2			
services	Zenithar blesses the diligent and the hard worker who follow His precepts. Furthermore, His resolutes gain access to the temple potion maker, potion seller, and library. Masters and Primates can even attempt to summon Daedric Princes.	Zenithar,Daedric Princes	Building Name	==	The Resolution of Z'en	NoLore	==	2			
the Knights of Iron	We of the Knights of Iron are in charge of the military excursions of the Resolution of Zenithar. Zenithar is not merely the God of Merchants and Commerce, He is also a warrior god. We represent that side of Him.		Faction Name	==	the Knights of Iron	NoLore	==	2			
Who are you?	I am @Name@, a Healer of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Temple Healers	NoLore	==	2
Who are you?	I am @Name@, a Missionary of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Temple Missionaries	NoLore	==	2
Who are you?	I am @Name@, a Blesser of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Temple Blessers	NoLore	==	2
Who are you?	I am @Name@, a Treasurer of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Temple Treasurers	NoLore	==	2
Who are you?	I am @Name@, an Apothecary of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Apothecaries of Z'en	NoLore	==	2
Who are you?	I am @Name@, a Mixer of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Mixers of Z'en	NoLore	==	2
Who are you?	I am @Name@, a Summonist of the Resolution of Z'en. My faith in Zenithar allows me to parlay with Daedric Princes, but be warned: summoning them is always dangerous.	Zenithar,the Resolution of Z'en, Daedric Princes	Building Name	==	the Resolution of Z'en	Faction Name	==	Summonists of Z'en	NoLore	==	2
Who are you?	I am @Name@, a Teacher of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	Faction Name	==	Teachers of Z'en	NoLore	==	2
Who are you?	I am @Name@, a Warrior Monk of the Knights of Iron.	the Knights of Iron	Faction Name	==	the Knights of Iron	NoLore	==	2			
Who are you?	I am @Name@, a layperson of the Resolution of Z'en.	Zenithar,the Resolution of Z'en	Building Name	==	the Resolution of Z'en	NoLore	==	2			
The Resolution of Z'en	Any temple dedicated to Zenithar, the God of Work and Commerce, is called a Resolution of Zenithar or a Resolution of Z’en.|A Resolution is the fancy name the priests of Zenithar give to their temples.|Zenithar is the God of Work and Commerce. A no-nonsense kind of diety, and His temples are so headstrong, they're called Resolutions.		Region Index	==	57|18|44|37|51						
the Knights of the Dragon	@Building Name@ have sworn to protect the land and the ruling family of %crn. And, by the gods, we shall uphold this sacred oath.|Our glorious order has a long and rich history dating back from the end of the Merethic Era.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.|We carry on the tradition of nobles-in-arms, and we ensure that %crn would have able and ready defenders in times of trouble.|We are all nobles. But we were not all born as such. Even a commoner can become a knight if they show enough prowess and chivalry.		Building Name	==	the Knights of the Dragon	NoLore	==	2			
the Knights of the Flame	@Building Name@ have sworn to protect the land and the ruling family of %crn. And, by the gods, we shall uphold this sacred oath.|Our glorious order has a long and rich history dating back from the end of the Merethic Era.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.|We carry on the tradition of nobles-in-arms, and we ensure that %crn would have able and ready defenders in times of trouble.|We are all nobles. But we were not all born as such. Even a commoner can become a knight if they show enough prowess and chivalry.		Building Name	==	the Knights of the Flame	NoLore	==	2			
the Knights of the Owl	@Building Name@ have sworn to protect the land and the ruling family of %crn. And, by the gods, we shall uphold this sacred oath.|Our glorious order has a long and rich history dating back from the end of the Merethic Era.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.|We carry on the tradition of nobles-in-arms, and we ensure that %crn would have able and ready defenders in times of trouble.|We are all nobles. But we were not all born as such. Even a commoner can become a knight if they show enough prowess and chivalry.		Building Name	==	the Knights of the Owl	NoLore	==	2			
the Knights of the Rose	@Building Name@ have sworn to protect the land and the ruling family of %crn. And, by the gods, we shall uphold this sacred oath.|Our glorious order has a long and rich history dating back from the end of the Merethic Era.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.|We carry on the tradition of nobles-in-arms, and we ensure that %crn would have able and ready defenders in times of trouble.|We are all nobles. But we were not all born as such. Even a commoner can become a knight if they show enough prowess and chivalry.		Building Name	==	the Knights of the Rose	NoLore	==	2			
the Order of the Raven	@Building Name@ has sworn to protect the land and the ruling family of %crn. And, by the gods, we shall uphold this sacred oath.|Our glorious order has a long and rich history dating back from the end of the Merethic Era.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.|We carry on the tradition of nobles-in-arms, and we ensure that %crn would have able and ready defenders in times of trouble.|We are all nobles. But we were not all born as such. Even a commoner can become a knight if they show enough prowess and chivalry.		Building Name	==	the Order of the Raven	NoLore	==	2			
the Host of the Horn	@Building Name@ has sworn to protect the land and the royal family of %crn. It is our sacred duty and we shall uphold this oath for the glory of our forefathers.|We follow the Way of the Sword and the ancient traditions of Yokuda. Our forefathers were the spearhead of the Redguards.|We are knights errants, for to master the Way one has to complete a Walkabout: a wilderness trek emulating the times of Frandar Hunding where we wander the countryside defeating monsters and aiding the citizenry in the name of virtue.|Our swords are an extension of our souls and the symbols of our honor. My sword and myself are defenders of %crn. We are the masters of our enemies.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.	-|Yokuda,Redguards|Walkabout,Frandar Hunding|-|-	Building Name	==	the Host of the Horn	NoLore	==	2			
the Knights of the Hawk	@Building Name@ have sworn to protect the land and the royal family of %crn. It is our sacred duty and we shall uphold this oath for the glory of our forefathers.|We follow the Way of the Sword and the ancient traditions of Yokuda. Our forefathers were the spearhead of the Redguards.|We are knights errants, for to master the Way one has to complete a Walkabout: a wilderness trek emulating the times of Frandar Hunding where we wander the countryside defeating monsters and aiding the citizenry in the name of virtue.|Our swords are an extension of our souls and the symbols of our honor. My sword and myself are defenders of %crn. We are the masters of our enemies.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.	-|Yokuda,Redguards|Walkabout,Frandar Hunding|-|-	Building Name	==	the Knights of the Hawk	NoLore	==	2			
the Knights of the Wheel	@Building Name@ have sworn to protect the land and the royal family of %crn. It is our sacred duty and we shall uphold this oath for the glory of our forefathers.|We follow the Way of the Sword and the ancient traditions of Yokuda. Our forefathers were the spearhead of the Redguards.|We are knights errants, for to master the Way one has to complete a Walkabout: a wilderness trek emulating the times of Frandar Hunding where we wander the countryside defeating monsters and aiding the citizenry in the name of virtue.|Our swords are an extension of our souls and the symbols of our honor. My sword and myself are defenders of %crn. We are the masters of our enemies.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.	-|Yokuda,Redguards|Walkabout,Frandar Hunding|-|-	Building Name	==	the Knights of the Wheel	NoLore	==	2			
the Order of the Candle	@Building Name@ has sworn to protect the land and the royal family of %crn. It is our sacred duty and we shall uphold this oath for the glory of our forefathers.|We follow the Way of the Sword and the ancient traditions of Yokuda. Our forefathers were the spearhead of the Redguards.|We are knights errants, for to master the Way one has to complete a Walkabout: a wilderness trek emulating the times of Frandar Hunding where we wander the countryside defeating monsters and aiding the citizenry in the name of virtue.|Our swords are an extension of our souls and the symbols of our honor. My sword and myself are defenders of %crn. We are the masters of our enemies.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.	-|Yokuda,Redguards|Walkabout,Frandar Hunding|-|-	Building Name	==	the Order of the Candle	NoLore	==	2			
the Order of the Scarab	@Building Name@ has sworn to protect the land and the royal family of %crn. It is our sacred duty and we shall uphold this oath for the glory of our forefathers.|We follow the Way of the Sword and the ancient traditions of Yokuda. Our forefathers were the spearhead of the Redguards.|We are knights errants, for to master the Way one has to complete a Walkabout: a wilderness trek emulating the times of Frandar Hunding where we wander the countryside defeating monsters and aiding the citizenry in the name of virtue.|Our swords are an extension of our souls and the symbols of our honor. My sword and myself are defenders of %crn. We are the masters of our enemies.|Only the most skilled and noble warriors can join our ranks. We will only accept those who best exemplify our values, and those who wish, above all, to serve their people without question or hesitation.	-|Yokuda,Redguards|Walkabout,Frandar Hunding|-|-	Building Name	==	the Order of the Scarab	NoLore	==	2			
Any advice?	Only through proven bravery and loyalty shall any recruit rise through the ranks.|Nobility, wealth, or charisma will not grant you prestige here, and no exceptions are made. Each recruit must demonstrate valor in battle, loyalty to %crn, and courage and strength of character in the face of adversity.|Preserving our reputation as steadfast, trustworthy protectors of the highest martial skill is paramount. Any found in violation of our strict standards will be removed from the ranks without question.|Our heraldry and our castles are the epitome of Breton culture. We are the cream of the crop and must act like it.|Never refuse a challenge from an equal. And never turn your back upon a foe.		Faction Guild Group	==	9|17	Region Index	==	21|19|36|41|17|5|57|18|59|60|9|37|35|33|32|38|42|58|39|23|16|40	NoLore	==	2
Any advice?	If you are distracted from the blade's way, you will only be confused and the path to mastery will disappear beneath your feet.|Do not think of what you might do tomorrow, but think only of perfecting each exercise as it is assigned. In this way, you will come to grow as one with your weapon.|First blood matters less than last breath.|The worst action executed with vigor is superior to the best action executed timidly.|Your opponent's sword is not your enemy. Watch your opponent, not his sword.		Faction Guild Group	==	9|17	Region Index	==	43|0|55|47|56|61|11|1|53|44|49|22|52|46|45|54|50|20|48|51	NoLore	==	2
Who are you?	I am @Name@, a Smith of @Building Name@.	the Knights of the Dragon,the Knights of the Flame,the Knights of the Owl,the Knights of the Rose,the Order of the Raven,the Host of the Horn,the Knights of the Hawk,the Knights of the Wheel,the Order of the Candle,the Order of the Raven,the Order of the Scarab	Faction Name	==	Smiths	NoLore	==	2			
Who are you?	I am @Name@, a Quester of @Building Name@.	the Knights of the Dragon,the Knights of the Flame,the Knights of the Owl,the Knights of the Rose,the Order of the Raven,the Host of the Horn,the Knights of the Hawk,the Knights of the Wheel,the Order of the Candle,the Order of the Raven,the Order of the Scarab	Faction Name	==	Questers	NoLore	==	2			
Who are you?	I am @Name@, a Healer of @Building Name@.	the Knights of the Dragon,the Knights of the Flame,the Knights of the Owl,the Knights of the Rose,the Order of the Raven,the Host of the Horn,the Knights of the Hawk,the Knights of the Wheel,the Order of the Candle,the Order of the Raven,the Order of the Scarab	Faction Name	==	Healers	NoLore	==	2			
Who are you?	I am @Name@, a Seneschal of @Building Name@.	the Knights of the Dragon,the Knights of the Flame,the Knights of the Owl,the Knights of the Rose,the Order of the Raven,the Host of the Horn,the Knights of the Hawk,the Knights of the Wheel,the Order of the Candle,the Order of the Raven,the Order of the Scarab	Faction Name	==	Seneschal	NoLore	==	2			
Who are you?	I am @Name@, a Knight of @Building Name@.	the Knights of the Dragon,the Knights of the Flame,the Knights of the Owl,the Knights of the Rose,the Order of the Raven,the Host of the Horn,the Knights of the Hawk,the Knights of the Wheel,the Order of the Candle,the Order of the Raven,the Order of the Scarab	Faction Guild Group	==	9|17	NoLore	==	2			
Beldama Coven	The Daedric Princes heed our call, but we do not summon them lightly. It must be done with purpose.|Here the spirits whisper, the herbs bloom, and the Daedric Princes listen… if you know how to call them.|The witches of this coven have the power to call upon Daedric Princes—if you’re willing to pay the price.|@Location Name@ stands apart from the cities’ politics and laws. We answer only to the ancient pacts.|Do you come seeking knowledge, or simply to pry where you shouldn’t? Our secrets are not lightly given.|We are the daughters of the night, bound by ancient pacts. This place is our sanctuary.|The Mages Guild may have their scrolls, but witches have the raw magic of nature itself.|We do not trust easily. We have been hunted, lied about, and misunderstood for centuries.|You believe you sought this coven, but perhaps it is this coven that seeks something from you.|Do not confuse our rituals with the corruption you see in the cities. Ours is a purer form of magic.|Here, the boundaries between Mundus and Oblivion blur. We make contact with forces that most rightly fear.	Daedric Princes|Daedric Princes|Daedric Princes|-|-|-|the Mages Guild|-|-|-|-	Location Name	==	Beldama Coven	NoLore	==	2			
Daggerfall Coven	The Daedric Princes heed our call, but we do not summon them lightly. It must be done with purpose.|Here the spirits whisper, the herbs bloom, and the Daedric Princes listen… if you know how to call them.|The witches of this coven have the power to call upon Daedric Princes—if you’re willing to pay the price.|@Location Name@ stands apart from the cities’ politics and laws. We answer only to the ancient pacts.|Do you come seeking knowledge, or simply to pry where you shouldn’t? Our secrets are not lightly given.|We are the daughters of the night, bound by ancient pacts. This place is our sanctuary.|The Mages Guild may have their scrolls, but witches have the raw magic of nature itself.|We do not trust easily. We have been hunted, lied about, and misunderstood for centuries.|You believe you sought this coven, but perhaps it is this coven that seeks something from you.|Do not confuse our rituals with the corruption you see in the cities. Ours is a purer form of magic.|Here, the boundaries between Mundus and Oblivion blur. We make contact with forces that most rightly fear.	Daedric Princes|Daedric Princes|Daedric Princes|-|-|-|the Mages Guild|-|-|-|-	Location Name	==	Daggerfall Coven	NoLore	==	2			
Wroth Coven	The Daedric Princes heed our call, but we do not summon them lightly. It must be done with purpose.|Here the spirits whisper, the herbs bloom, and the Daedric Princes listen… if you know how to call them.|The witches of this coven have the power to call upon Daedric Princes—if you’re willing to pay the price.|@Location Name@ stands apart from the cities’ politics and laws. We answer only to the ancient pacts.|Do you come seeking knowledge, or simply to pry where you shouldn’t? Our secrets are not lightly given.|We are the daughters of the night, bound by ancient pacts. This place is our sanctuary.|The Mages Guild may have their scrolls, but witches have the raw magic of nature itself.|We do not trust easily. We have been hunted, lied about, and misunderstood for centuries.|You believe you sought this coven, but perhaps it is this coven that seeks something from you.|Do not confuse our rituals with the corruption you see in the cities. Ours is a purer form of magic.|Here, the boundaries between Mundus and Oblivion blur. We make contact with forces that most rightly fear.	Daedric Princes|Daedric Princes|Daedric Princes|-|-|-|the Mages Guild|-|-|-|-	Location Name	==	Wroth Coven	NoLore	==	2			
Coven of the Dust	The Daedric Princes heed our call, but we do not summon them lightly. It must be done with purpose.|Here the spirits whisper, the herbs bloom, and the Daedric Princes listen… if you know how to call them.|The witches of this coven have the power to call upon Daedric Princes—if you’re willing to pay the price.|@Location Name@ stands apart from the cities’ politics and laws. We answer only to the ancient pacts.|Do you come seeking knowledge, or simply to pry where you shouldn’t? Our secrets are not lightly given.|We are the daughters of the night, bound by ancient pacts. This place is our sanctuary.|The Mages Guild may have their scrolls, but witches have the raw magic of nature itself.|We do not trust easily. We have been hunted, lied about, and misunderstood for centuries.|You believe you sought this coven, but perhaps it is this coven that seeks something from you.|Do not confuse our rituals with the corruption you see in the cities. Ours is a purer form of magic.|Here, the boundaries between Mundus and Oblivion blur. We make contact with forces that most rightly fear.	Daedric Princes|Daedric Princes|Daedric Princes|-|-|-|the Mages Guild|-|-|-|-	Location Name	==	Coven of the Dust	NoLore	==	2			
Glenmoril Coven	The Daedric Princes heed our call, but we do not summon them lightly. It must be done with purpose.|Here the spirits whisper, the herbs bloom, and the Daedric Princes listen… if you know how to call them.|The witches of this coven have the power to call upon Daedric Princes—if you’re willing to pay the price.|@Location Name@ stands apart from the cities’ politics and laws. We answer only to the ancient pacts.|Do you come seeking knowledge, or simply to pry where you shouldn’t? Our secrets are not lightly given.|We are the daughters of the night, bound by ancient pacts. This place is our sanctuary.|The Mages Guild may have their scrolls, but witches have the raw magic of nature itself.|We do not trust easily. We have been hunted, lied about, and misunderstood for centuries.|You believe you sought this coven, but perhaps it is this coven that seeks something from you.|Do not confuse our rituals with the corruption you see in the cities. Ours is a purer form of magic.|Here, the boundaries between Mundus and Oblivion blur. We make contact with forces that most rightly fear.	Daedric Princes|Daedric Princes|Daedric Princes|-|-|-|the Mages Guild|-|-|-|-	Location Name	==	Glenmoril Coven	NoLore	==	2			
Coven of Peaks	The Daedric Princes heed our call, but we do not summon them lightly. It must be done with purpose.|Here the spirits whisper, the herbs bloom, and the Daedric Princes listen… if you know how to call them.|The witches of this coven have the power to call upon Daedric Princes—if you’re willing to pay the price.|@Location Name@ stands apart from the cities’ politics and laws. We answer only to the ancient pacts.|Do you come seeking knowledge, or simply to pry where you shouldn’t? Our secrets are not lightly given.|We are the daughters of the night, bound by ancient pacts. This place is our sanctuary.|The Mages Guild may have their scrolls, but witches have the raw magic of nature itself.|We do not trust easily. We have been hunted, lied about, and misunderstood for centuries.|You believe you sought this coven, but perhaps it is this coven that seeks something from you.|Do not confuse our rituals with the corruption you see in the cities. Ours is a purer form of magic.|Here, the boundaries between Mundus and Oblivion blur. We make contact with forces that most rightly fear.	Daedric Princes|Daedric Princes|Daedric Princes|-|-|-|the Mages Guild|-|-|-|-	Location Name	==	Coven of Peaks	NoLore	==	2			
